RETAILER_CONTACT_CODE,RETAILER_SITE_CODE,FIRST_NAME,LAST_NAME,JOB_POSITION_EN,EXTENSION,FAX,E_MAIL,GENDER
4,19,Gilles,Rapier,Site Manager,,1 (613) 740-6701,GRapier@f76.net,M
5,23,Walter,Baker,Site Manager,,1 (514) 743-7985,WBaker@maxsnetinc.com,M
6,4,Marie,Turcotte,Assistant Purchaser,635.0,1 (514) 747-2582,MTurcotte@cybserv19.com,F
7,2,Mark,Myers,Assistant Purchaser,,1 (514) 741-2277,MMyers@rocksteadyitl.com,M
9,10,Jack,Marshall,Site Manager,,1 (604) 682-4523,JMarshall@vipce2k.com,M
10,14,Frank,Smith,Chief Purchaser,2489.0,1 (514) 741-1610,FSmith@legolfeurinc.com,M
11,25,Frank,Bretton,District Manager,3452.0,1 (613) 735-5759,FBretton@maxsnetinc.com,M
13,27,Elise,Leblanc,District Manager,,1 (416) 496-5066,ELeblanc@actup9.com,F
14,30,Serge,Champoux,Assistant Purchaser,784.0,1 (416) 489-3763,SChampoux@actup9.com,M
15,29,Guy,Lamoureux,District Manager,,1 (416) 496-7756,GLamoureux@actup9.com,M
16,3,Yves,Fortin,Site Assistant Manager,,1 (506) 446-2897,YFortin@rocksteadyitl.com,M
17,20,Walter,Reilly,Chief Purchaser,2148.0,1 (902) 427-6942,WReilly@f76.net,M
22,11,Richard,Seitak,Chief Purchaser,3425.0,1 (604) 682-3059,RSeitak@vipce2k.com,M
23,7,Tom,Mackley,Assistant Purchaser,1254.0,1 (306) 242-9766,TMackley@cybserv19.com,M
30,1,Trudy,Gates,Site Assistant Manager,,1 (204) 891-4971,TGates@rocksteadyitl.com,F
31,28,Harmon,Pederson,District Manager,157.0,1 (204) 887-7620,HPederson@actup9.com,M
32,21,David,Henschel,Site Assistant Manager,654.0,1 (250) 779-6930,DHenschel@f76.net,M
33,52,Brigitta,Kunstl,Assistant Purchaser,,+(49) 221 423 980,BKunstl@extrem1.com,F
34,50,Britta,Selemann,Site Manager,87.0,+(49) 69 553 1292,BSelemann@dz7.com,F
35,45,Christine,Schmidt,Assistant Purchaser,,+(49) 69 332 1440,CSchmidt@holsteing.com,F
36,34,Franz,Hillemann,District Manager,,+(49) 221 773 431,FHillemann@dfd18.com,M
37,44,Friedrich,Wallner,Assistant Purchaser,538.0,+(49) 69 102 7656,FWallner@holsteing.com,M
38,59,Gabriele,Artner,Chief Purchaser,,+(49) 361 791 574,GArtner@b17xo2.com,F
39,37,Gerd,Bogener,Site Assistant Manager,,+(49) 351 525 218,GBogener@fztxinc.com,M
40,47,Gerhard,Steiner,Site Assistant Manager,24.0,+(49) 30 883 2134,GSteiner@dz7.com,M
41,51,Günther,Hessel,Assistant Purchaser,,+(49) 331 784 300,GHessel@dz7.com,M
42,33,Hans,Albrecht,Site Assistant Manager,1548.0,+(49) 30 229 1345,HAlbrecht@dfd18.com,M
43,38,Heinrich,Sandemann,Assistant Purchaser,,+(49) 211 608 903,HSandemann@fztxinc.com,M
44,39,Herbert,Stillner,Site Manager,6497.0,+(49) 69 233 0762,HStillner@fztxinc.com,M
45,43,Harald,Klein,Stock Manager,,+(49) 613 135 060,HKlein@holsteing.com,M
46,54,Helga,Freibauer,Stock Manager,,+(49) 69 881 4466,HFreibauer@extrem1.com,F
47,58,Helge,Dielmann,District Manager,,+(49) 761 814 410,HDielmann@b17xo2.com,F
48,57,Helmut,Scharf,Stock Manager,,+(49) 681 972 176,HScharf@b17xo2.com,M
49,35,Helmuth,Schmitt,Site Assistant Manager,,+(49) 40 456 1234,HSchmitt@dfd18.com,M
50,49,Hermann,Diemer,Site Assistant Manager,,+(49) 385 661 254,HDiemer@dz7.com,M
51,62,Hilde,Kunz,Stock Manager,654.0,+(49) 89 234 8822,HKunz@weitblickitl.com,F
52,36,Ingrid,Stadler,Chief Purchaser,6492.0,+(49) 30 694 0112,IStadler@fztxinc.com,F
53,55,Jan,Gutmann,Stock Manager,,+(49) 40 332 6777,JGutmann@extrem1.com,M
54,41,Jens,Helsen,Assistant Purchaser,,+(49) 778 224 646,JHelsen@fztxinc.com,M
55,60,Jochen,Mostel,Assistant Purchaser,,+(49) 40 666 1061,JMostel@rutkss.com,M
56,32,Jochen,Tausig,Assistant Purchaser,,+(49) 69 702 1090,JTausig@fitexes.com,M
57,48,Johann,Stauber,Site Manager,,+(49) 431 185 541,JStauber@dz7.com,M
58,61,Karin,Engele,Chief Purchaser,249.0,+(49) 421 325 177,KEngele@weitblickitl.com,F
59,63,Katrin,Liebnitz,District Manager,673.0,+(49) 391 364 508,KLiebnitz@dfd18.com,F
60,40,Kerstin,Stilemann,Chief Purchaser,,+(49) 40 221 5609,KStilemann@fztxinc.com,F
61,46,Karsten,Thormann,Chief Purchaser,,+(49) 406 657 321,KThormann@holsteing.com,M
62,53,Katja,Dükel,District Manager,805.0,+(49) 425 553 453,KDukel@extrem1.com,F
63,42,Klaus,Bülow,Site Assistant Manager,1368.0,+(49) 30 553 0892,KBulow@holsteing.com,M
64,56,Knud,Heinze,Assistant Purchaser,24.0,+(49) 69 122 1893,KHeinze@b17xo2.com,M
65,5,Andrea,Martens,Stock Manager,,1 (705) 675-9848,AMartens@cybserv19.com,F
66,6,Bill,Follett,Site Assistant Manager,,1 (819) 427-4397,BFollett@cybserv19.com,M
67,8,Bob,Harvey,Stock Manager,,1 (867) 670-7293,Bob@mountmad2k.net,M
68,9,Bonnie,Richards,Assistant Purchaser,,1 (416) 490-1569,BRichards@vipce2k.com,F
69,12,Douglas,Petterson,Stock Manager,,1 (604) 687-4760,DPetterson@vipce2k.com,M
70,13,Ellen,Smith,Assistant Purchaser,215.0,1 (514) 742-7210,ESmith@vipce2k.com,F
71,15,Emma,Wilson,Assistant Purchaser,,1 (250) 388-6463,SGC@imssandt.com,F
72,16,Julia,Ortega,Site Assistant Manager,,1 (819) 885-1286,SGC@imssandt.com,F
73,17,Karen,Bowman,District Manager,,1 (514) 744-1818,Kbowman@f76.net,F
74,18,Lloyd,Johnson,Stock Manager,,1 (416) 490-8218,Ljohnson@f76.net,M
75,22,Sam,O'Donnell,District Manager,,1 (416) 491-8738,SODonnell@maxsnetinc.com,M
76,24,Ron,Winter,Stock Manager,1216.0,1 (416) 493-8539,Rwinter@maxsnetinc.com,M
77,26,Phil,Daily,Assistant Purchaser,,1 (902) 549-1159,PDaily@maxsnetinc.com,M
78,67,James,Cattani,Site Manager,,1 (808) 724-2226,Cattani@ogceromdaer.net,M
79,70,Deborah,Kim,Site Assistant Manager,,1 (617) 268-9292,Kim@ogceromdaer.net,F
80,69,Doug,Isaacs,Site Assistant Manager,,1 (410) 747-6731,Isaacs@ogceromdaer.net,M
81,68,Judith,Schaeffer,Site Assistant Manager,,1 (404) 653-9383,Schaeffer@ogceromdaer.net,F
82,71,Nadeem,Azizi,Site Manager,64.0,1 (716) 694-4548,Azizi@ogceromdaer.net,M
83,72,Lisa,Mortenson,Site Assistant Manager,,1 (212) 780-3467,Mortenson@ogceromdaer.net,F
84,74,Michael,Feador,Site Manager,,1 (402) 475-4717,Mike@ulyssesnet5.net,M
85,73,Edward,Hurley,Site Manager,,1 (406) 248-6762,Ed@ulyssesnet5.net,M
86,78,Anthony,Pelletier,Site Assistant Manager,1112.0,1 (513) 793-7891,TonyP@mktplace7.net,M
87,75,Carl,Rosetti,Chief Purchaser,123.0,1 (212) 477-9737,CarlR@mktplace7.net,M
88,79,Christopher,Rosenbaum,Chief Purchaser,,1 (401) 272-6861,ChrisR@mktplace7.net,M
