SALES_STAFF_CODE,FIRST_NAME,LAST_NAME,POSITION_EN,WORK_PHONE,EXTENSION,FAX,EMAIL,DATE_HIRED,SALES_BRANCH_CODE
4,Denis,Pagé,Branch Manager,+33 1 68 94 52 20,325.0,+33 1 68 94 56 60,DPage@grtd123.com,1996-11-03,6
5,Élizabeth,Michel,Level 3 Sales Representative,+33 1 68 94 52 20,336.0,+33 1 68 94 56 60,EMichel@grtd123.com,1995-06-08,6
6,Émile,Clermont,Level 1 Sales Representative,+33 1 68 94 52 20,378.0,+33 1 68 94 56 60,EClermont@grtd123.com,1998-04-07,6
7,Étienne,Jauvin,Level 2 Sales Representative,+33 1 68 94 52 20,398.0,+33 1 68 94 56 60,EJauvin@grtd123.com,1997-08-16,6
12,Elsbeth,Wiesinger,Level 2 Sales Representative,+(49) 40 663 1990,1818.0,+(49) 40 663 4571,EWiesinger@grtd123.com,1997-02-27,13
13,Else,Mörike,Regional Manager,+(49) 40 663 1990,1865.0,+(49) 40 663 4571,EMorike@grtd123.com,1999-06-02,13
14,Frank,Fuchs,Branch Manager,+(49) 40 663 1990,1847.0,+(49) 40 663 4571,FFuchs@grtd123.com,1997-01-12,13
15,Gunter,Erler,Level 2 Sales Representative,+(49) 40 663 1990,1823.0,+(49) 40 663 4571,GErler@grtd123.com,1998-03-05,13
16,Björn,Winkler,Level 3 Sales Representative,+(49) 89 882 3456,224.0,+(49) 89 882 3455,BWinkler@grtd123.com,1996-07-03,14
17,Fritz,Hirsch,Branch Manager,+(49) 89 882 3456,225.0,+(49) 89 882 3455,FHirsch@grtd123.com,1996-09-12,14
18,Jörg,Kunze,District Manager,+(49) 89 882 3456,234.0,+(49) 89 882 3455,JKunze@grtd123.com,2000-01-07,14
19,Silvano,Allessori,Level 2 Sales Representative,+33 1 68 94 52 20,317.0,+33 1 68 94 56 60,SAllessori@grtd123.com,1998-12-06,7
20,Maria,Iacobucci,Branch Manager,+(39) 02 41 05 400,,+(39) 02 41 20 549,MIacobucci@grtd123.com,1996-08-18,7
21,Alessandra,Torta,Level 3 Sales Representative,+(39) 02 79 53 780,,+(39) 02 79 53 477,ATorta@grtd123.com,1997-02-13,7
22,Belinda,Jansen-Velasquez,Level 1 Sales Representative,+31 (0)20 692 93 94,187.0,+31 (0)20 692 93 06,BVelasquez@grtd123.com,1999-02-12,9
23,Ellen,Shapiro,Level 2 Sales Representative,+31 (0)20 692 93 94,179.0,+31 (0)20 692 93 06,EShapiro@grtd123.com,1999-01-15,9
24,Jan,Haverkamp,Level 2 Sales Representative,+31 (0)20 692 93 94,163.0,+31 (0)20 692 93 06,JHaverkamp@grtd123.com,1998-07-18,9
25,Kick,Kalkman,Branch Manager,+31 (0)20 692 93 94,197.0,+31 (0)20 692 93 06,KKalkman@grtd123.com,1995-09-06,9
26,Maria,Laponder,Level 3 Sales Representative,+31 (0)20 692 93 94,144.0,+31 (0)20 692 93 06,MLaponder@grtd123.com,1995-10-10,9
